FID,x,y,lineament_dens,drainage_dens,curah_hujan,slope,elevasi,litologi_Alluvial,litologi_Batigamping,litologi_Batuan_Sedimen,litologi_Batugamping,litologi_Breksi_Gunung_Api,litologi_Breksi_dan_Piroklastik_Muda,litologi_Breksi_dan_Piroklastik_Tua,litologi_Volkanoklastik,potensi
231,108.2728,-7.42255,0.362969,249.9456,250,3,6,0,0,1,0,0,0,0,0,1
232,108.2778,-7.42255,0.389855,269.9412,250,2,6,0,0,1,0,0,0,0,0,1
233,108.2828,-7.42255,0.416742,269.9412,250,1,6,0,0,1,0,0,0,0,0,1
234,108.2878,-7.42255,0.44362799999999997,269.9412,250,3,6,0,0,1,0,0,0,0,0,1
235,108.2928,-7.42255,0.47051499999999996,289.9369,250,3,7,0,0,1,0,0,0,0,0,1
236,108.2978,-7.42255,0.524288,289.9369,250,3,7,0,0,1,0,0,0,0,0,1
237,108.3028,-7.42255,0.524288,289.9369,250,3,8,0,0,1,0,0,0,0,0,1
238,108.3078,-7.42255,0.5511739999999999,289.9369,250,3,8,0,0,0,0,0,0,0,1,1
239,108.3128,-7.42255,0.5511739999999999,309.9325,250,3,10,0,0,0,0,0,0,0,1,1
240,108.3178,-7.42255,0.5511739999999999,309.9325,250,4,9,0,0,0,0,0,0,0,1,1
241,108.3228,-7.42255,0.5511739999999999,329.9282,250,4,9,0,0,0,0,0,0,0,1,1
242,108.3278,-7.42255,0.524288,329.9282,250,4,9,0,0,0,0,0,0,0,1,1
243,108.3329,-7.42255,0.49740100000000004,349.9238,250,3,8,0,0,0,0,0,0,0,1,1
244,108.3379,-7.42255,0.47051499999999996,349.9238,250,3,7,0,0,0,0,0,0,0,1,1
245,108.3429,-7.42255,0.44362799999999997,349.9238,250,3,6,0,0,0,0,0,0,0,1,1
246,108.3479,-7.42255,0.44362799999999997,329.9282,250,3,6,0,0,0,0,0,0,0,1,1
247,108.3529,-7.42255,0.416742,329.9282,250,2,6,0,0,0,0,0,0,0,1,1
248,108.1325,-7.418880000000001,0.524288,189.9586,250,2,5,0,0,1,0,0,0,0,0,1
249,108.1375,-7.418880000000001,0.524288,189.9586,250,2,6,0,0,0,0,0,0,1,0,1
250,108.1426,-7.418880000000001,0.5511739999999999,189.9586,250,2,5,0,0,1,0,0,0,0,0,1
251,108.1476,-7.418880000000001,0.5780609999999999,169.963,250,3,5,0,0,1,0,0,0,0,0,1
252,108.1526,-7.418880000000001,0.631834,169.963,250,1,5,0,0,1,0,0,0,0,0,1
253,108.1576,-7.418880000000001,0.658721,169.963,250,2,5,0,0,1,0,0,0,0,0,1
254,108.1626,-7.418880000000001,0.685607,169.963,250,3,5,0,0,1,0,0,0,0,0,1
255,108.1676,-7.418880000000001,0.712494,169.963,250,3,6,0,0,1,0,0,0,0,0,1
