FID,x,y,lineament_dens,drainage_dens,curah_hujan,litologi,slope,elevasi,potensi
1618,108.3479,-7.1987,0.255422,209.9543,350,Breksi_dan_Piroklastik_Tua,3,7,Buruk
1619,108.3529,-7.1987,0.228536,209.9543,350,Breksi_dan_Piroklastik_Tua,3,6,Buruk
1620,108.1275,-7.19503,0.309195,269.9412,350,Breksi_dan_Piroklastik_Muda,2,12,Buruk
1621,108.1325,-7.19503,0.282309,269.9412,350,Breksi_dan_Piroklastik_Muda,3,12,Buruk
1622,108.1375,-7.19503,0.255422,249.9456,350,Breksi_dan_Piroklastik_Muda,2,11,Buruk
1623,108.1426,-7.19503,0.255422,249.9456,350,Breksi_dan_Piroklastik_Muda,2,11,Buruk
1624,108.1776,-7.19503,0.12099,209.9543,350,Breksi_dan_Piroklastik_Muda,1,8,Buruk
1625,108.1826,-7.19503,0.147876,209.9543,350,Breksi_dan_Piroklastik_Muda,2,8,Buruk
1626,108.1876,-7.19503,0.147876,209.9543,350,Breksi_dan_Piroklastik_Muda,1,7,Buruk
1627,108.1926,-7.19503,0.174763,189.9586,350,Breksi_dan_Piroklastik_Muda,1,7,Buruk
1628,108.2477,-7.19503,0.362969,289.9369,350,Breksi_dan_Piroklastik_Tua,4,25,Buruk
1629,108.2527,-7.19503,0.389855,289.9369,350,Breksi_dan_Piroklastik_Tua,5,25,Buruk
1630,108.2577,-7.19503,0.389855,309.9325,350,Breksi_dan_Piroklastik_Tua,5,22,Buruk
1631,108.2627,-7.19503,0.416742,309.9325,350,Breksi_dan_Piroklastik_Tua,5,21,Buruk
1632,108.2678,-7.19503,0.443628,309.9325,350,Breksi_dan_Piroklastik_Tua,5,21,Buruk
1633,108.2728,-7.19503,0.443628,309.9325,350,Breksi_dan_Piroklastik_Tua,5,22,Buruk
1634,108.2778,-7.19503,0.443628,309.9325,350,Breksi_dan_Piroklastik_Tua,5,23,Buruk
1635,108.2828,-7.19503,0.443628,309.9325,350,Breksi_dan_Piroklastik_Tua,5,23,Buruk
1636,108.2878,-7.19503,0.443628,309.9325,350,Breksi_dan_Piroklastik_Tua,5,22,Buruk
1637,108.2928,-7.19503,0.443628,289.9369,350,Breksi_dan_Piroklastik_Tua,5,21,Buruk
1638,108.2978,-7.19503,0.443628,289.9369,350,Breksi_dan_Piroklastik_Tua,4,18,Buruk
1639,108.3078,-7.19503,0.416742,269.9412,350,Breksi_dan_Piroklastik_Tua,5,16,Buruk
1640,108.3128,-7.19503,0.416742,249.9456,350,Breksi_dan_Piroklastik_Tua,5,14,Buruk
1641,108.3178,-7.19503,0.389855,249.9456,350,Breksi_dan_Piroklastik_Tua,5,13,Buruk
1642,108.3228,-7.19503,0.362969,229.9499,350,Breksi_dan_Piroklastik_Tua,4,11,Buruk
1643,108.3278,-7.19503,0.336082,209.9543,350,Breksi_dan_Piroklastik_Tua,4,9,Buruk
1644,108.3329,-7.19503,0.336082,209.9543,350,Breksi_dan_Piroklastik_Tua,3,8,Buruk
1645,108.3379,-7.19503,0.282309,209.9543,350,Breksi_dan_Piroklastik_Tua,3,8,Buruk
1646,108.3429,-7.19503,0.255422,209.9543,350,Breksi_dan_Piroklastik_Tua,1,7,Buruk
1647,108.3479,-7.19503,0.228536,209.9543,350,Breksi_dan_Piroklastik_Tua,2,7,Buruk
1648,108.3529,-7.19503,0.201649,189.9586,350,Breksi_dan_Piroklastik_Tua,2,6,Buruk
1649,108.2327,-7.43356,0.551174,209.9543,250,Batuan_Sedimen,2,5,Buruk
1650,108.2377,-7.43356,0.524288,209.9543,250,Batuan_Sedimen,3,6,Buruk
1651,108.2427,-7.43356,0.497401,209.9543,250,Batuan_Sedimen,3,6,Buruk
1652,108.2477,-7.43356,0.470515,209.9543,250,Batuan_Sedimen,3,7,Buruk
1653,108.2327,-7.42989,0.551174,189.9586,250,Batuan_Sedimen,2,5,Buruk
1654,108.2377,-7.42989,0.524288,189.9586,250,Batuan_Sedimen,2,6,Buruk
1655,108.2427,-7.42989,0.497401,189.9586,250,Batuan_Sedimen,2,6,Buruk
1656,108.2477,-7.42989,0.470515,209.9543,250,Batuan_Sedimen,3,6,Buruk
1657,108.2527,-7.42989,0.443628,209.9543,250,Batuan_Sedimen,2,6,Buruk
1658,108.2577,-7.42989,0.416742,229.9499,250,Batuan_Sedimen,2,6,Baik
1659,108.2627,-7.42989,0.389855,249.9456,250,Batuan_Sedimen,3,6,Baik
1660,108.2678,-7.42989,0.362969,269.9412,250,Batuan_Sedimen,3,6,Baik
1661,108.2327,-7.42622,0.551174,169.963,250,Batuan_Sedimen,2,6,Buruk
1662,108.2377,-7.42622,0.524288,169.963,250,Batuan_Sedimen,1,6,Buruk
1663,108.2427,-7.42622,0.497401,169.963,250,Batuan_Sedimen,2,6,Buruk
1664,108.2477,-7.42622,0.470515,189.9586,250,Batuan_Sedimen,2,6,Buruk
1665,108.2527,-7.42622,0.443628,189.9586,250,Batuan_Sedimen,1,6,Buruk
1666,108.2577,-7.42622,0.416742,209.9543,250,Breksi_dan_Piroklastik_Muda,1,6,Buruk
1667,108.2627,-7.42622,0.389855,229.9499,250,Breksi_dan_Piroklastik_Muda,2,6,Baik
1668,108.2678,-7.42622,0.362969,249.9456,250,Batuan_Sedimen,1,6,Baik
1669,108.2327,-7.42255,0.524288,149.9673,250,Batuan_Sedimen,1,6,Buruk
1670,108.2377,-7.42255,0.497401,149.9673,250,Batuan_Sedimen,2,6,Buruk
1671,108.2427,-7.42255,0.470515,169.963,250,Breksi_dan_Piroklastik_Muda,2,6,Buruk
1672,108.2477,-7.42255,0.443628,169.963,250,Breksi_dan_Piroklastik_Muda,1,6,Buruk
1673,108.2527,-7.42255,0.416742,189.9586,250,Breksi_dan_Piroklastik_Muda,1,6,Buruk
1674,108.2577,-7.42255,0.389855,209.9543,250,Breksi_dan_Piroklastik_Muda,1,6,Buruk
1675,108.2627,-7.42255,0.362969,229.9499,250,Breksi_dan_Piroklastik_Muda,1,6,Baik
1676,108.2678,-7.42255,0.362969,229.9499,250,Breksi_dan_Piroklastik_Muda,2,6,Baik
1677,108.2728,-7.42255,0.362969,249.9456,250,Batuan_Sedimen,3,6,Baik
1678,108.2327,-7.41888,0.497401,149.9673,250,Batuan_Sedimen,3,6,Buruk
1679,108.2377,-7.41888,0.497401,149.9673,250,Breksi_dan_Piroklastik_Muda,2,6,Buruk
1680,108.2427,-7.41888,0.470515,149.9673,250,Breksi_dan_Piroklastik_Muda,3,6,Buruk
1681,108.2477,-7.41888,0.443628,149.9673,250,Breksi_dan_Piroklastik_Muda,1,6,Buruk
1682,108.2527,-7.41888,0.416742,169.963,250,Breksi_dan_Piroklastik_Muda,1,6,Buruk
